MKT,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,FINEOTEX CHEMICAL LIMITED,        87.15,        87.45,        88.00,        84.60,        85.50,                 37991724.95,441475,N, ,4173,        96.00,        26.05
N,FUTURE CONSUMER LIMITED,         9.75,         9.90,         9.90,         9.55,         9.60,                 49079194.70,5062539,N, ,5401,        19.25,         5.85
N,FDC LIMITED,       353.95,       354.80,       364.00,       348.00,       359.00,                 68632021.70,193969,N, ,7015,       404.90,       236.60
N,FEDERAL BANK LTD,        87.10,        86.80,        86.90,        85.80,        86.00,                747682832.70,8653163,N,XDO,23005,        92.50,        45.35
N,FUTURE ENTERPRISES LTD,        11.75,        12.00,        12.00,        11.30,        11.35,                 17357250.90,1508014,N, ,2006,        22.15,         7.90
N,FUTURE ENTERPRISES LTD,        14.55,        14.75,        14.75,        13.95,        14.00,                   567093.70,39765,N, ,163,        23.60,         9.50
N,FIEM INDUSTRIES LIMITED,       744.30,       805.00,       818.95,       736.10,       746.65,                292747577.15,381049,N, ,18310,       818.95,       350.10
N,FILATEX INDIA LTD,        97.10,        97.40,        99.50,        96.25,        96.60,                 24380279.65,250398,N, ,3100,       118.00,        21.95
N,FINOLEX CABLES LTD,       519.80,       530.00,       530.00,       520.00,       525.20,                177605379.20,338276,N, ,14472,       539.70,       255.50
N,FINE ORGANIC IND. LTD.,      2894.50,      2922.95,      2922.95,      2881.25,      2888.85,                 53988028.00,18608,N, ,2976,      3568.80,      1854.00
N,FINOLEX INDUSTRIES LTD,       183.95,       185.90,       186.45,       182.50,       184.25,                182372920.35,989350,N, ,15870,       714.90,       135.65
N,FUT LIFESTYLE FASH LTD,        76.60,        77.50,        77.50,        74.50,        74.95,                  6473609.45,85464,N, ,1399,       169.50,        46.50
N,GUJARAT FLUOROCHEM LTD,      1161.55,      1163.00,      1174.00,      1122.00,      1131.45,                103075676.80,90130,N, ,8606,      1238.00,       335.00
N,FEDERAL-MOGUL GOETZE (IND,       320.15,       320.40,       325.20,       311.05,       314.15,                 73907308.90,232377,N, ,6474,       465.00,       246.10
N,FUTURE MKT NETWORKS LTD,        19.30,        20.00,        20.00,        18.80,        19.35,                  1534868.40,78462,N, ,288,        32.55,        11.55
N,FOCUS LIGHTG & FIXTRS LTD,        36.80,        36.65,        37.70,        36.65,        36.85,                   668250.00,18000,N, ,6,        38.65,        18.05
N,FORCE MOTORS LIMITED,      1212.80,      1233.80,      1233.80,      1212.00,      1215.45,                 20172266.05,16538,N, ,2430,      1559.95,       880.00
N,FORTIS HEALTHCARE LTD,       243.40,       244.75,       249.50,       242.85,       247.05,               1247999481.75,5047736,N, ,46004,       249.50,       121.00
