SYMBOL,SERIES,SECURITY,HIGH/LOW,INDEX FLAG
INDOSOLAR,BZ,INDOSOLAR LIMITED,L
INNOVANA,SM,INNOVANA THINKLABS LTD.,L
IVC,BE,IL&FS INVESTMENT MANAGERS,L
JAIBALAJI,EQ,JAI BALAJI INDUSTRIES LTD,L
JETAIRWAYS,BZ,JET AIRWAYS (INDIA) LTD.,L
JMTAUTOLTD,EQ,JMT AUTO LIMITED,L
JPASSOCIAT,BE,JAIPRAKASH ASSOCIATES LTD,L
JPINFRATEC,BE,JAYPEE INFRATECH LTD,L
JPPOWER,EQ,JAIPRAKASH POWER VEN. LTD,L
KANANIIND,BE,KANANI INDUSTRIES LTD,L
KRIDHANINF,BE,KRIDHAN INFRA LIMITED,L
LAGNAM,SM,LAGNAM SPINTEX LIMITED,L
LAKPRE,BZ,LAKSHMI PRE SCRE LTD,L
LCCINFOTEC,BE,LCC INFOTECH LTD,L
LGBFORGE,BE,LGB FORGE LIMITED,L
LOTUSEYE,BE,LOTUS EYE HOSP & INST L,L
LSIL,BE,LLOYDS STEELS IND. LTD.,L
MAGNUM,BE,MAGNUM VENTURES LTD.,L
MANALIPETC,BE,MANALI PETROCHEMICALS LT,L
MCLEODRUSS,BE,MCLEOD RUSSEL INDIA LTD.,L
MDL,SM,MARVEL DECOR LIMITED,L
MERCATOR,BE,MERCATOR LIMITED,L
MHHL,SM,MOHINI HEALTH&HYGIENE LTD,L
MPTODAY,SM,M P TODAY MEDIA LIMITED,L
NAGREEKEXP,EQ,NAGREEKA EXPORTS LTD.,L
NEXTMEDIA,EQ,NEXT MEDIAWORKS LIMITED,L
NIBL,BE,NRB INDUS. BEARINGS LTD.,L
NILASPACES,BE,NILA SPACES LIMITED,L
NKIND,BE,NKINDUSTRIES LTD,L
OPTIEMUS,BE,OPTIEMUS INFRACOM LTD,L
OPTOCIRCUI,BE,OPTO CIRCUITS (I) LTD,L
ORCHPHARMA,EQ,ORCHID PHARMA LIMITED,L
PAEL,BZ,PAE LIMITED,L
PARSVNATH,EQ,PARSVNATH DEVELOPER LTD,L
PATSPINLTD,BE,PATSPIN INDIALTD.,L
PBAINFRA,EQ,PBA INFRASTRUCTURE LTD.,L
PERFECT,SM,PERFECT INFRAENGINEER LTD,L
PROLIFE,SM,PROLIFE INDUSTRIES LTD,L
PUNJLLOYD,BZ,PUNJ LLOYD LIMITED,L
RAJRAYON,BZ,RAJ RAYON INDUSTRIES LTD,L
RCOM,EQ,RELIANCE COMMUNICATIONS L,L
RELCAPITAL,EQ,RELIANCE CAPITAL LTD,L
RELINFRA,BE,RELIANCE INFRASTRUCTU LTD,L
RHFL,BE,RELIANCE HOME FINANCE LTD,L
RMDRIP,SM,R M DRIP & SPRINK SYS LTD,L
RNAVAL,BZ,RELIANCE NAVAL & ENGG LTD,L
ROLLT,EQ,ROLLATAINERS LIMITED,L
ROML,EQ,RAJ OIL MILLS LIMITED,L
RPOWER,BE,RELIANCE POWER LTD.,L
