SERIES,SYMBOL,SECURITY,RECORD_DT,BC_STRT_DT,BC_END_DT,EX_DT,ND_STRT_DT,ND_END_DT,PURPOSE
EQ,TANTIACONS,Tantia Constructions Limi, ,20/07/2021,26/07/2021,16/07/2021, , ,ANNUAL GENERAL MEETING   
EQ,HERCULES,Hercules Hoists Limited, ,03/08/2021,10/08/2021,30/07/2021, , ,AGM/DIV-RS 1.50 PER SH   
EQ,GILLANDERS,Gillanders Arbuthnot Ltd, ,06/08/2021,13/08/2021,04/08/2021, , ,ANNUAL GENERAL MEETING   
EQ,DLINKINDIA,D-Link India Ltd, ,21/08/2021,27/08/2021,18/08/2021, , ,AGM/DIV - RS 1.80 PER SH 
EQ,OFSS,Oracle Fin Serv Soft Ltd., ,29/07/2021,04/08/2021,27/07/2021, , ,ANNUAL GENERAL MEETING   
EQ,VINATIORGA,Vinati Organics Limited, ,26/06/2021,03/07/2021,24/06/2021, , ,AGM/DIV - RS 6 PER SH    
EQ,ABBOTINDIA,Abbott India Limited, ,21/07/2021,27/07/2021,19/07/2021, , ,AGM/DIVRS120SPLDIVRS155  
EQ,BOSCHLTD,Bosch Limited, ,14/07/2021,05/08/2021,12/07/2021, , ,AGM/DIV - RS 115 PER SH  
EQ,ADANIPOWER,Adani Power Limited, ,06/07/2021,13/07/2021,02/07/2021, , ,ANNUAL GENERAL MEETING   
EQ,BAJAJHLDNG,Bajaj Holdings & Invs Ltd, ,10/07/2021,22/07/2021,08/07/2021, , ,AGM/DIV - RS 40 PER SH   
EQ,BIRLAMONEY,Aditya Birla Money Ltd, ,24/07/2021,30/07/2021,22/07/2021, , ,ANNUAL GENERAL MEETING   
EQ,VGUARD,V-Guard Industries Limite, ,30/07/2021,05/08/2021,28/07/2021, , ,AGM/DIV - RS 1.20 PER SH 
EQ,UNITEDTEA,United Nilgiri Tea Ltd, ,07/08/2021,13/08/2021,05/08/2021, , ,AGM/DIV-RS 1.70 PER SH   
EQ,COROMANDEL,Coromandel Internl Ltd., ,17/07/2021,26/07/2021,15/07/2021, , ,AGM/DIV - RS 6 PER SH    
EQ,EIHAHOTELS,EIH Associated Hotels, ,20/07/2021,22/07/2021,16/07/2021, , ,ANNUAL GENERAL MEETING   
